|State|Total|White|Hispanic|Black|Asian / Pacific Islander
0|Alabama|75|81|69|67|85
1|Alaska|70|76|70|61|76
2|Arizona|76|84|70|71|84
3|Arkansas|84|87|78|78|84
4|California|78|86|73|66|90
5|Colorado|75|82|62|66|82
6|Connecticut|85|91|69|73|92
7|Delaware|80|83|74|74|93
8|District of Columbia|59|86|54|58|74
9|Florida|75|80|73|64|89
10|Georgia|70|78|60|62|82
11|Hawaii|82|79|76|76|84
12|Illinois|82|89|76|68|93
13|Indiana|86|89|80|73|89
14|Iowa|89|91|77|74|89
15|Kansas|85|88|77|75|86
16|Louisiana|72|78|70|65|85
17|Maine|85|86|80|72|89
18|Maryland|84|90|73|77|93
19|Massachusetts|85|90|66|73|89
20|Michigan|76|82|64|60|87
21|Minnesota|78|84|53|51|74
22|Mississippi|75|82|79|69|90
23|Missouri|86|89|80|73|90
24|Montana|84|87|79|79|92
25|Nebraska|88|91|78|74|83
26|Nevada|63|72|54|48|74
27|New Hampshire|86|87|74|76|86
28|New Jersey|86|93|77|75|95
29|New Mexico|70|77|68|69|84
30|New York|77|87|63|63|86
31|North Carolina|80|85|73|75|87
32|North Dakota|87|90|73|76|86
33|Ohio|81|86|68|61|90
34|Oregon|68|71|60|53|79
35|Pennsylvania|84|89|68|68|89
36|Rhode Island|77|82|67|67|79
37|South Carolina|75|78|69|71|85
38|South Dakota|83|89|67|67|84
39|Tennessee|87|91|80|79|91
40|Texas|88|93|84|84|94
41|Utah|80|83|66|64|78
42|Vermont|88|88|86|72|94
43|Virginia|83|88|73|75|90
44|Washington|77|80|67|67|82
45|West Virginia|79|80|79|74|94
46|Wisconsin|88|92|74|64|89
47|Wyoming|79|82|67|66|86
